,subjects,preprocessed,statement,bidirectional_statement
0,Says the Annies List political group supports third-trimester abortions on demand.,"['say', 'annies', 'list', 'political', 'group', 'support', 'trimester', 'abortion', 'demand']",false,false
1,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,"['decline', 'coal', 'start', 'started', 'natural', 'gas', 'took', 'started', 'begin', 'president', 'george', 'bush', 'administration']",half-true,true
2,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""","['hillary', 'clinton', 'agrees', 'john', 'mccain', 'voting', 'george', 'bush', 'benefit', 'doubt', 'iran']",mostly-true,true
3,Health care reform legislation is likely to mandate free sex change surgeries.,"['health', 'care', 'reform', 'legislation', 'likely', 'mandate', 'free', 'sex', 'change', 'surgery']",false,false
4,The economic turnaround started at the end of my term.,"['economic', 'turnaround', 'started', 'end', 'term']",half-true,true
5,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,"['chicago', 'bear', 'starting', 'quarterback', 'year', 'total', 'number', 'tenured', 'uw', 'faculty', 'fired', 'decade']",true,true
6,Jim Dunnam has not lived in the district he represents for years now.,"['jim', 'dunnam', 'lived', 'district', 'represents', 'year']",barely-true,false
7,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.","['person', 'stage', 'worked', 'actively', 'year', 'passing', 'rus', 'feingold', 'toughest', 'ethic', 'reform', 'watergate']",half-true,true
8,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.","['took', 'million', 'oregon', 'lottery', 'fund', 'port', 'newport', 'eventually', 'land', 'new', 'noaa', 'marine', 'operation', 'center', 'pacific']",half-true,true
9,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,"['say', 'gop', 'primary', 'opponent', 'glenn', 'grothman', 'joe', 'leibham', 'cast', 'compromise', 'vote', 'cost', 'million', 'higher', 'electricity', 'cost']",mostly-true,true
